id,ime,nabavna_cena,prodajna_cena,država_porekla,dobavitelj,id_izdelka
1,"Ajdov kruh bio 1,5 kg",3.02,3.8,Hrvaška,Jadran Export,3831000004555
2,"Ajdov kruh bio 6 x 0,5 l",0.45,0.73,Italija,Global Food Partner,3831000004852
3,Ajdov kruh mini 250 g,0.77,1.04,Avstrija,Terra Verde,3831000001752
4,Ajdov kruh sveže 250 g,1.99,2.74,Italija,Mlečna Pot d.o.o.,3831000002957
5,Ajdova moka klasično 1 kg,2.3,3.09,Madžarska,Panvita Dobava,3831000000069
6,Ajdova moka klasično 1 kg - serija 98,3.71,5.9,Francija,Zlato Polje Distribucija,3831000001462
7,Ajdova moka lahko 100 g,0.72,0.98,Slovenija,AgroFresh Slovenija,3831000003466
8,Ajdova moka maxi 1 kg,0.46,0.65,Avstrija,Terra Verde,3831000004364
9,"Ajdova moka pakirano 1,5 kg",2.41,3.73,Avstrija,Global Food Partner,3831000003763
10,"Ajdova moka pakirano 6 x 0,5 l",3.86,5.44,Francija,Gorenje Gastro Nabava,3831000001967
11,Ananas klasično 250 g,4.18,6.44,Ekvador,Sava Trade Foods,3831000000816
12,Ananas lahko 12 x 1 l,0.65,0.87,Ekvador,Jadran Export,3831000003411
13,Avokado mini 2 kg,2.77,3.59,Kolumbija,Global Food Partner,3831000000113
14,Avokado mini 250 g,3.1,4.62,Hrvaška,Alpe Food d.o.o.,3831000001912
15,BBQ omaka naravno 200 g,1.1,1.47,Italija,VitaMarket Dobavitelj,3831000000502
16,Bageta maxi 12 x 1 l,0.61,0.87,Slovenija,Okus Narave d.o.o.,3831000003251
17,Bageta pakirano 750 g,2.53,3.94,Nemčija,Zlato Polje Distribucija,3831000004050
18,Balzamični kis premium 250 g,6.25,7.86,Španija,Mlečna Pot d.o.o.,3831000004401
19,Banane bio 150 g,4.35,6.2,Nizozemska,Okus Narave d.o.o.,3831000004715
20,Banane domače 200 g,3.17,4.61,Nizozemska,Global Food Partner,3831000001813
21,Banane lahko 1 l,0.74,1.06,Turčija,Jadran Export,3831000002414
22,Banane maxi 150 g,2.94,3.7,Ekvador,Zlato Polje Distribucija,3831000003817
23,"Banane mini 1,5 kg",3.29,4.42,Španija,Alpina Delikates,3831000003312
24,Banane mini 100 g,3.24,4.73,Slovenija,Panvita Dobava,3831000001714
25,Beli kruh družinsko 500 g,3.85,5.89,Hrvaška,Pekarna Center,3831000001554
26,Bonboni izbrano 100 g,3.27,5.19,Švica,FreshLine Logistics,3831000003473
27,Borovnice naravno 1 kg,4.25,5.89,Turčija,Okus Narave d.o.o.,3831000001417
28,Breskve domače 300 g,1.5,2.23,Ekvador,Global Food Partner,3831000003916
29,Breskve ekstra 200 g,1.7,2.46,Turčija,Global Food Partner,3831000003015
30,Breskve sveže 1 kg,1.04,1.26,Španija,Okus Narave d.o.o.,3831000002612
31,Breskve tradicionalno 300 g,2.61,3.19,Ekvador,Jadran Export,3831000002810
32,Brokoli klasično 500 g,2.35,3.02,Španija,Alpe Food d.o.o.,3831000003527
33,Brokoli maxi 2 l,1.8,2.38,Španija,Alpina Delikates,3831000003428
34,Brokoli mini 1 kg,3.83,5.57,Slovenija,Domača Košara,3831000002926
35,"Brokoli sveže 1,5 kg",3.14,4.01,Avstrija,Terra Verde,3831000001721
36,Burek brez glutena 200 g,1.17,1.9,Avstrija,Terra Verde,3831000004753
37,Burek izbrano 750 g,3.74,4.69,Nemčija,Panvita Dobava,3831000001950
38,"Burek naravno 1,5 l",3.43,4.58,Hrvaška,Gorenje Gastro Nabava,3831000003855
39,Bučke lahko 2 kg,2.31,3.09,Madžarska,Okus Narave d.o.o.,3831000004029
40,Bučke maxi 12 x 1 l,2.64,3.72,Slovenija,AgroFresh Slovenija,3831000001028
41,Bučno olje klasično 2 l,3.71,5.19,Slovenija,Mlečna Pot d.o.o.,3831000000809
42,Bučno olje lahko 150 g,3.23,4.55,Avstrija,Mediteran Import,3831000000304
43,Bučno olje pakirano 2 kg,5.83,8.43,Francija,Global Food Partner,3831000003701
44,Ciabatta domače 750 g,2.48,3.85,Avstrija,FreshLine Logistics,3831000004159
45,Cvetača bio 1 kg,1.9,2.99,Nizozemska,Domača Košara,3831000003725
46,Cvetača pakirano 2 kg,3.73,5,Poljska,Mlečna Pot d.o.o.,3831000002223
47,"Cvetača premium 1,5 l",0.4,0.57,Poljska,BioIzbor d.o.o.,3831000001622
48,Drobtine družinsko 500 g,2.66,4.06,Avstrija,Mlečna Pot d.o.o.,3831000001158
49,Drobtine klasično 750 g,1.81,2.4,Hrvaška,Pekarna Center,3831000002056
50,"Drobtine mini 1,5 l",0.59,0.87,Avstrija,AgroFresh Slovenija,3831000003756
51,Energijska pijača bio 150 g,2.18,3.19,Slovenija,Mlečna Pot d.o.o.,3831000001981
52,Energijska pijača ekstra 1 kg,3.09,3.96,Češka,Sava Trade Foods,3831000001882
53,Energijska pijača maxi 300 g,3.71,5.17,Češka,Pekarna Center,3831000001189
54,Feta sir bio 100 g,3.28,4.53,Slovenija,Mlečna Pot d.o.o.,3831000004043
55,"Feta sir brez glutena 6 x 0,5 l",2.3,3.35,Italija,FreshLine Logistics,3831000001141
56,"Feta sir ekstra 1,5 l",5.03,7.92,Avstrija,Domača Košara,3831000000847
57,"Fižol družinsko 1,5 kg",3.35,4.25,Francija,Alpina Delikates,3831000004968
58,Fižol ekstra 100 g,2.81,3.66,Francija,Jadran Export,3831000004067
59,Fižol stročji ekstra 500 g,3.28,3.91,Slovenija,Terra Verde,3831000002728
60,Fižol stročji lahko 300 g,1.96,2.87,Italija,EuroTrade Foods,3831000001820
61,"Fižol stročji sveže 1,5 kg",1.68,2.11,Slovenija,Domača Košara,3831000000229
62,Fokača družinsko 100 g,3.2,4.22,Slovenija,Pekarna Center,3831000004456
63,Fokača mini 400 g,0.3,0.41,Italija,EuroTrade Foods,3831000000953
64,"Fokača mini 6 x 0,5 l",3.87,4.9,Nemčija,Gorenje Gastro Nabava,3831000001257
65,Gazirana voda brez glutena 250 g,3.95,4.76,Italija,Pekarna Center,3831000000885
66,"Gazirana voda družinsko 1,5 kg",2.85,3.9,Češka,VitaMarket Dobavitelj,3831000002582
67,Gazirana voda ekstra 1 kg,2.99,4.07,Italija,Domača Košara,3831000002186
