id,id_racuna,izdelek,datum,id_prodajalca,id_poslovalnice,kolicina
1,100000026,Nektarine lahko 1 l,01.01.2024,1168,1010,4
2,100000026,"Feta sir ekstra 1,5 l",01.01.2024,1168,1010,5
3,100000026,Ledeni čaj izbrano 300 g,01.01.2024,1168,1010,5
4,100000831,Ciabatta domače 750 g,01.01.2024,5043,1004,4
5,100000831,Kis pakirano 200 g,01.01.2024,5043,1004,5
6,100000831,Mango lahko 150 g,01.01.2024,5043,1004,1
7,100000831,"Salama premium 1,5 l",01.01.2024,5043,1004,2
8,100000831,Marcipan sveže 400 g,01.01.2024,5043,1004,5
9,100001013,Mozzarella bio 150 g,01.01.2024,6407,1009,2
10,100001663,Proteinska ploščica lahko 12 x 1 l,01.01.2024,1969,1009,2
11,100001663,"Jagnječji kotleti klasično 1,5 kg",01.01.2024,1969,1009,2
12,100001756,Sojina omaka sveže 200 g,01.01.2024,9455,1006,2
13,100002433,"Sladkor bio 1,5 l",01.01.2024,8086,1008,5
14,100002689,"Banane mini 1,5 kg",01.01.2024,6450,1001,3
15,100002689,Pomaranče bio 200 g,01.01.2024,6450,1001,5
16,100002689,Zamrznjena špinača družinsko 250 g,01.01.2024,6450,1001,4
17,100002689,"Polnozrnati kruh družinsko 1,5 l",01.01.2024,6450,1001,2
18,100002689,Sladka smetana izbrano 2 l,01.01.2024,6450,1001,4
19,100002704,Čokoladni namaz klasično 12 x 1 l,01.01.2024,9602,1007,4
20,100002704,Topljeni sir naravno 12 x 1 l,01.01.2024,9602,1007,4
21,100002704,Njoki naravno 500 g,01.01.2024,9602,1007,3
22,100002704,Česen družinsko 2 l,01.01.2024,9602,1007,5
23,100002852,Jagnječji kotleti lahko 2 l,01.01.2024,8364,1002,5
24,100002852,Izvirska voda sveže 2 l,01.01.2024,8364,1002,4
25,100002852,Maline naravno 2 l,01.01.2024,8364,1002,4
26,100002852,Šunka sveže 150 g,01.01.2024,8364,1002,1
27,100003317,Pomarančni sok brez glutena 750 g,01.01.2024,8611,1006,3
28,100003317,Testenine lahko 2 l,01.01.2024,8611,1006,3
29,100003447,Zamrznjena juha tradicionalno 1 l,01.01.2024,6271,1001,5
30,100003447,Zamrznjeni rogljički izbrano 400 g,01.01.2024,6271,1001,2
31,100003447,"Feta sir brez glutena 6 x 0,5 l",01.01.2024,6271,1001,2
32,100003646,Čokoladni namaz klasično 12 x 1 l,01.01.2024,2099,1005,3
33,100003724,Worcester omaka ekstra 2 kg,01.01.2024,6407,1009,5
34,100003724,Jogurt lahko 2 l,01.01.2024,6407,1009,2
35,100003724,"Kokosovo olje mini 6 x 0,5 l",01.01.2024,6407,1009,3
36,100003986,Zdrob maxi 300 g,01.01.2024,7176,1010,2
37,100004390,Račje prsi bio 100 g,01.01.2024,5073,1002,2
38,100004725,"Tartar omaka mini 1,5 kg",01.01.2024,3203,1001,1
39,100004725,Sladoled čokolada mini 150 g,01.01.2024,3203,1001,1
40,100004874,Por sveže 100 g,01.01.2024,3657,1008,1
41,100004874,"Kava mleta klasično 1,5 kg",01.01.2024,3657,1008,3
42,100005110,Ribje palčke ekstra 750 g,01.01.2024,7454,1008,2
43,100005110,"Olivno olje naravno 1,5 l",01.01.2024,7454,1008,1
44,100005110,Ledeni čaj pakirano 1 l,01.01.2024,7454,1008,5
45,100005597,"Smetanov namaz sveže 1,5 kg",01.01.2024,5824,1007,5
46,100007209,Svinjska rebra maxi 2 kg,01.01.2024,5775,1005,2
47,100007209,Zamrznjena zelenjava naravno 150 g,01.01.2024,5775,1005,2
48,100007209,"Jagnječji kotleti družinsko 1,5 l",01.01.2024,5775,1005,5
49,100007209,"Kava mleta klasično 1,5 kg",01.01.2024,5775,1005,3
50,100007502,Ribje palčke ekstra 300 g,01.01.2024,1949,1007,5
51,100007502,Zamrznjeno pecivo pakirano 2 kg,01.01.2024,1949,1007,5
52,100007502,Zamrznjen grah lahko 300 g,01.01.2024,1949,1007,1
53,100007510,"Nektarine ekstra 1,5 l",01.01.2024,3821,1003,5
54,100007918,"Kajzerice bio 1,5 l",01.01.2024,2483,1004,3
55,100007918,"Lizike pakirano 6 x 0,5 l",01.01.2024,2483,1004,4
56,100008524,Kosmiči premium 1 kg,01.01.2024,4245,1010,2
57,100008657,"Čevapčiči premium 1,5 l",01.01.2024,8626,1001,2
58,100008947,Krompir bio 150 g,01.01.2024,4622,1003,5
59,100009004,Avokado mini 250 g,01.01.2024,2156,1001,1
60,100009004,Mlečne štručke bio 750 g,01.01.2024,2156,1001,4
61,100009013,Pašteta družinsko 200 g,01.01.2024,7862,1004,5
62,100009013,"Sladoled čokolada brez glutena 6 x 0,5 l",01.01.2024,7862,1004,4
63,100009083,Instant kava maxi 12 x 1 l,01.01.2024,3275,1008,4
64,100009269,Majoneza ekstra 1 l,01.01.2024,2112,1001,4
65,100009269,Svinjski kotleti mini 250 g,01.01.2024,2112,1001,2
66,100009269,Gorčica klasično 300 g,01.01.2024,2112,1001,1
67,100009646,Račje prsi bio 100 g,01.01.2024,6391,1008,4
68,100009646,Češnje družinsko 12 x 1 l,01.01.2024,6391,1008,1
69,100009646,"Med maxi 1,5 kg",01.01.2024,6391,1008,3
70,100009757,Sol pakirano 250 g,01.01.2024,7862,1004,4
71,100009757,Nektarine lahko 1 l,01.01.2024,7862,1004,3
72,100009757,Ajdova moka klasično 1 kg - serija 98,01.01.2024,7862,1004,3
73,100000024,Zamrznjene maline premium 1 l,02.01.2024,3132,1008,3
74,100000024,Keksi z maslom maxi 2 l,02.01.2024,3132,1008,3
75,100000024,Olivno olje mini 300 g,02.01.2024,3132,1008,4
76,100000024,Jabolčni kis maxi 400 g,02.01.2024,3132,1008,4
77,100000024,Česen domače 1 kg,02.01.2024,3132,1008,3
78,100000391,Por mini 12 x 1 l,02.01.2024,8642,1004,4
79,100000391,"Banane mini 1,5 kg",02.01.2024,8642,1004,1
80,100000391,Kus kus lahko 12 x 1 l,02.01.2024,8642,1004,1
81,100000999,Kefir klasično 2 l,02.01.2024,4744,1008,1
82,100000999,Mlečne štručke domače 750 g,02.01.2024,4744,1008,3
83,100000999,Zamrznjena zelenjava naravno 150 g,02.01.2024,4744,1008,1
84,100001473,Ajdov kruh mini 250 g,02.01.2024,9123,1007,5
85,100001473,Ajdova moka klasično 1 kg,02.01.2024,9123,1007,2
86,100001473,Jabolka bio 150 g,02.01.2024,9123,1007,4
87,100001487,Ribje palčke ekstra 300 g,02.01.2024,3132,1008,1
88,100001487,"Čili omaka maxi 1,5 kg",02.01.2024,3132,1008,3
89,100001487,Bonboni izbrano 100 g,02.01.2024,3132,1008,4
90,100001487,Češnje tradicionalno 300 g,02.01.2024,3132,1008,2
91,100001487,Mineralna voda tradicionalno 2 l,02.01.2024,3132,1008,4
92,100001645,Skuta mini 12 x 1 l,02.01.2024,4660,1006,2
93,100001645,"Sladoled čokolada brez glutena 6 x 0,5 l",02.01.2024,4660,1006,2
94,100001813,"Zamrznjena pica sveže 6 x 0,5 l",02.01.2024,2291,1001,2
95,100002602,Sir edamec maxi 300 g,02.01.2024,5250,1002,5
96,100002602,"Kajzerice družinsko 1,5 l",02.01.2024,5250,1002,3
97,100002893,Brokoli maxi 2 l,02.01.2024,8629,1010,1
98,100002893,Svinjski kotleti sveže 200 g,02.01.2024,8629,1010,5
99,100002893,Solata tradicionalno 150 g,02.01.2024,8629,1010,4
100,100002893,Kis mini 300 g,02.01.2024,8629,1010,2
101,100002893,Jabolčni kis maxi 400 g,02.01.2024,8629,1010,5
102,100002938,Hruške bio 300 g,02.01.2024,6983,1001,1
103,100002938,"Telečji zrezki domače 1,5 kg",02.01.2024,6983,1001,5
104,100003042,Sir camembert maxi 400 g,02.01.2024,9401,1001,4
105,100003042,Maline naravno 2 l,02.01.2024,9401,1001,3
106,100003042,Puranji file naravno 150 g,02.01.2024,9401,1001,4
107,100003042,Kus kus lahko 12 x 1 l,02.01.2024,9401,1001,3
108,100003079,Čokolada z lešniki tradicionalno 500 g - serija 30,02.01.2024,4987,1010,3
109,100003079,Zamrznjeni rogljički klasično 150 g,02.01.2024,4987,1010,5
110,100003079,Fižol stročji ekstra 500 g,02.01.2024,4987,1010,2
111,100003079,Goveji zrezki družinsko 1 l,02.01.2024,4987,1010,2
112,100003763,Banane mini 100 g,02.01.2024,1934,1004,3
113,100003763,Tortilje ekstra 2 kg,02.01.2024,1934,1004,5
114,100003904,Jabolka bio 150 g,02.01.2024,2507,1007,2
115,100003904,"Pašteta mini 1,5 l",02.01.2024,2507,1007,1
116,100003904,Zamrznjena špinača izbrano 2 kg,02.01.2024,2507,1007,4
117,100003964,"Ajdova moka pakirano 6 x 0,5 l",02.01.2024,5139,1002,2
118,100003967,Pomaranče tradicionalno 200 g,02.01.2024,9254,1004,3
119,100003967,"Tartar omaka mini 1,5 kg",02.01.2024,9254,1004,4
120,100004021,"Mineralna voda klasično 1,5 kg",02.01.2024,8626,1001,2
121,100004021,Koruzna moka domače 750 g,02.01.2024,8626,1001,3
122,100004021,Kruh s semeni premium 400 g,02.01.2024,8626,1001,4
123,100004021,Proteinska ploščica ekstra 400 g,02.01.2024,8626,1001,2
124,100004065,Zamrznjen grah domače 400 g,02.01.2024,5250,1002,1
125,100004065,Zamrznjeni lignji bio 400 g,02.01.2024,5250,1002,1
126,100004319,Ajdova moka klasično 1 kg - serija 98,02.01.2024,2527,1003,3
127,100004401,"Ledeni čaj družinsko 1,5 l",02.01.2024,9684,1004,1
128,100004724,Por mini 12 x 1 l,02.01.2024,6019,1003,1
129,100004724,"Račje prsi lahko 1,5 l",02.01.2024,6019,1003,4
130,100004724,Zelje lahko 250 g,02.01.2024,6019,1003,3
131,100004853,Koruzna moka pakirano 100 g,02.01.2024,6132,1008,2
132,100004853,Zamrznjen grah lahko 300 g,02.01.2024,6132,1008,1
133,100004853,Čokoladni namaz ekstra 1 kg,02.01.2024,6132,1008,2
134,100004853,Jabolka bio 150 g,02.01.2024,6132,1008,4
135,100004975,Pašteta družinsko 500 g,02.01.2024,7043,1010,2
136,100005005,Pesto klasično 250 g,02.01.2024,5824,1007,3
137,100005187,Pomaranče pakirano 750 g,02.01.2024,2289,1007,5
138,100005404,Zamrznjeni rogljički klasično 150 g,02.01.2024,5043,1004,3
139,100005650,Jagnječji kotleti klasično 300 g,02.01.2024,5824,1007,5
140,100005650,Kis mini 300 g,02.01.2024,5824,1007,2
141,100005650,Goveji zrezki družinsko 1 l,02.01.2024,5824,1007,5
142,100005711,Pašteta družinsko 500 g,02.01.2024,9749,1010,5
143,100005711,Majoneza ekstra 1 l,02.01.2024,9749,1010,4
144,100006297,BBQ omaka naravno 200 g,02.01.2024,4635,1005,5
145,100006297,Puding bio 400 g,02.01.2024,4635,1005,2
146,100006297,Proteinska ploščica pakirano 150 g,02.01.2024,4635,1005,2
147,100006297,Tortelini domače 750 g,02.01.2024,4635,1005,2
148,100006297,Kis pakirano 200 g,02.01.2024,4635,1005,1
149,100006555,Limone bio 200 g,02.01.2024,5043,1004,4
150,100006555,Sladoled vanilija pakirano 1 kg,02.01.2024,5043,1004,5
151,100007103,"Mineralna voda klasično 1,5 kg",02.01.2024,5273,1003,5
152,100007103,Zamrznjen grah pakirano 2 l,02.01.2024,5273,1003,1
153,100007103,Sladka smetana izbrano 2 l,02.01.2024,5273,1003,3
154,100007312,Sojina omaka tradicionalno 12 x 1 l,02.01.2024,6446,1006,1
155,100007562,Mineralna voda brez glutena 1 kg,02.01.2024,4245,1010,1
156,100007562,Jagnječji kotleti lahko 2 l,02.01.2024,4245,1010,2
157,100007562,Balzamični kis premium 250 g,02.01.2024,4245,1010,3
158,100007562,Čokolada z lešniki maxi 750 g,02.01.2024,4245,1010,1
159,100007617,Mleko brez glutena 1 kg,02.01.2024,2757,1009,4
160,100007617,Fokača družinsko 100 g,02.01.2024,2757,1009,1
161,100007617,Kvinoja družinsko 250 g,02.01.2024,2757,1009,3
162,100007617,Kivi premium 150 g,02.01.2024,2757,1009,3
163,100007759,Pomfri ekstra 1 l,02.01.2024,9708,1005,4
164,100007759,Lazanja naravno 750 g,02.01.2024,9708,1005,5
165,100007759,Zamrznjena pica premium 500 g,02.01.2024,9708,1005,2
166,100007759,Sir camembert naravno 150 g,02.01.2024,9708,1005,1
167,100007988,Kus kus lahko 12 x 1 l,02.01.2024,6250,1010,4
168,100007988,Kamilica čaj pakirano 150 g,02.01.2024,6250,1010,1
169,100008120,"Njoki sveže 1,5 kg",02.01.2024,6391,1008,3
170,100008120,Paradižnikova omaka premium 300 g,02.01.2024,6391,1008,4
171,100008120,Kefir naravno 1 l,02.01.2024,6391,1008,3
172,100008120,Nektarine mini 2 kg,02.01.2024,6391,1008,5
173,100008120,Müsli mini 750 g,02.01.2024,6391,1008,1
174,100008202,Zamrznjene jagode maxi 100 g,02.01.2024,3463,1009,2
175,100008202,Bonboni izbrano 100 g,02.01.2024,3463,1009,2
176,100008721,Paradižnikova omaka domače 12 x 1 l,02.01.2024,1413,1001,2
177,100008721,Puding tradicionalno 300 g,02.01.2024,1413,1001,5
178,100008721,Mleko lahko 100 g,02.01.2024,1413,1001,3
179,100008721,Žemlje bio 300 g,02.01.2024,1413,1001,4
180,100008762,Čokoladni pralineji lahko 1 kg,02.01.2024,3795,1001,1
181,100008762,Čokoladni namaz klasično 12 x 1 l,02.01.2024,3795,1001,1
182,100009373,Instant kava maxi 12 x 1 l,02.01.2024,3132,1008,4
183,100009373,Keksi z maslom maxi 2 l,02.01.2024,3132,1008,1
184,100009394,Žemlje bio 300 g,02.01.2024,1105,1008,1
185,100009394,Krompir brez glutena 750 g,02.01.2024,1105,1008,4
186,100009680,Paradižnikova omaka premium 300 g,02.01.2024,4622,1003,1
187,100009773,Zamrznjena juha naravno 250 g,02.01.2024,6271,1001,3
188,100009773,Kosmiči premium 1 kg,02.01.2024,6271,1001,4
189,100009773,Čokoladni namaz ekstra 1 kg,02.01.2024,6271,1001,2
190,100000674,Jagode bio 1 kg,03.01.2024,5178,1005,3
191,100000816,Testenine lahko 2 l,03.01.2024,9602,1007,2
192,100000816,Por ekstra 300 g,03.01.2024,9602,1007,5
193,100000816,Fižol stročji ekstra 500 g,03.01.2024,9602,1007,5
194,100001000,Njoki brez glutena 250 g,03.01.2024,4563,1005,4
195,100001000,Kakav napitek domače 750 g,03.01.2024,4563,1005,3
