id;id_ra?una;izdelek;datum;id_prodajalca;id_poslovalnice
1;200001200;Zamrznjena juha tradicionalno 1 l;1.01.2025;6080;1008
2;200001200;Jabol?ni kis sveže 2 l;1.01.2025;6080;1008
3;200001333;Grisini ekstra 1 kg;1.01.2025;7264;1001
4;200001333;Maline klasi?no 1,5 kg;1.01.2025;7264;1001
5;200001456;Sirup bezeg mini 2 kg;1.01.2025;9455;1006
6;200001456;Mandarine brez glutena 1 l;1.01.2025;9455;1006
7;200001872;?okoladni namaz ekstra 1 kg;1.01.2025;5775;1005
8;200001872;Cveta?a bio 1 kg;1.01.2025;5775;1005
9;200001872;Proteinska ploš?ica lahko 12 x 1 l;1.01.2025;5775;1005
10;200002436;Mle?ne štru?ke bio 1,5 l;1.01.2025;1082;1001
11;200002490;Paradižnikova omaka naravno 400 g;1.01.2025;2156;1001
12;200002814;Krompir maxi 1,5 kg;1.01.2025;1934;1004
13;200003128;Ovseni kosmi?i bio 1 kg;1.01.2025;8626;1001
14;200003128;Foka?a družinsko 100 g;1.01.2025;8626;1001
15;200003128;Ajdova moka lahko 100 g;1.01.2025;8626;1001
16;200003128;Energijska pija?a ekstra 1 kg;1.01.2025;8626;1001
17;200003672;Sol pakirano 250 g;1.01.2025;2312;1002
18;200004264;Nektarine lahko 1 l;1.01.2025;3953;1010
19;200004264;Banane maxi 150 g;1.01.2025;3953;1010
20;200004274;Salama premium 1,5 l;1.01.2025;1949;1007
21;200004400;Pica testo doma?e 12 x 1 l;1.01.2025;5273;1003
22;200004400;Kus kus ekstra 6 x 0,5 l;1.01.2025;5273;1003
23;200004400;Beli kruh družinsko 500 g;1.01.2025;5273;1003
24;200004695;Bageta pakirano 750 g;1.01.2025;6132;1008
25;200004815;Kisla smetana izbrano 500 g;1.01.2025;6446;1006
26;200004815;Zelje lahko 250 g;1.01.2025;6446;1006
27;200004815;Sladkor premium 12 x 1 l;1.01.2025;6446;1006
28;200005240;Kis naravno 250 g;1.01.2025;5073;1002
29;200005240;Ovseni kosmi?i doma?e 2 l;1.01.2025;5073;1002
30;200005240;Grisini ekstra 1 kg;1.01.2025;5073;1002
31;200005240;Ra?je prsi lahko 1,5 l;1.01.2025;5073;1002
32;200005393;Nektarine lahko 1 l;1.01.2025;8221;1005
33;200005393;Kisla smetana izbrano 500 g;1.01.2025;8221;1005
34;200005393;Worcester omaka izbrano 400 g;1.01.2025;8221;1005
35;200005393;Kus kus lahko 12 x 1 l;1.01.2025;8221;1005
