id,id_izdelka,Lupek Velenje Center,Lupek Celje Jug,Lupek Ljubljana BTC,Lupek Maribor Center,Lupek Koper,Lupek Novo Mesto,Lupek Kranj,Lupek Murska Sobota,Lupek Nova Gorica,Lupek Ptuj
1,3831000004555,48,23,43,55,48,14,26,44,29,43
2,3831000004852,47,30,17,55,34,46,46,15,20,16
3,3831000001752,28,51,22,31,51,12,28,36,26,43
4,3831000002957,46,39,23,52,34,20,30,49,16,47
5,3831000000069,16,55,25,24,15,13,36,27,22,30
6,3831000001462,15,48,25,25,35,35,18,46,46,33
7,3831000003466,16,44,44,14,37,36,43,26,50,46
8,3831000004364,29,34,36,20,43,55,12,25,36,19
9,3831000003763,32,17,42,25,38,44,47,36,38,41
10,3831000001967,42,51,34,40,54,29,22,41,35,44
11,3831000000816,28,50,13,52,30,55,38,50,23,53
12,3831000003411,20,36,18,28,41,15,14,24,49,26
13,3831000000113,17,15,29,47,45,39,25,53,27,23
14,3831000001912,17,55,37,43,55,46,17,55,33,23
15,3831000000502,55,31,34,46,18,51,50,22,31,46
16,3831000003251,23,40,48,38,22,41,46,31,19,50
17,3831000004050,44,28,39,42,30,50,19,47,51,39
18,3831000004401,17,35,18,31,25,14,14,21,20,16
19,3831000004715,32,52,28,55,36,12,25,39,35,30
20,3831000001813,45,18,48,42,30,49,28,49,14,26
21,3831000002414,27,48,15,30,55,31,53,51,17,17
22,3831000003817,23,31,55,33,15,44,30,50,30,40
23,3831000003312,13,20,42,47,54,25,30,55,38,41
24,3831000001714,18,26,45,13,27,23,25,50,44,48
25,3831000001554,44,31,33,42,53,25,54,21,13,15
26,3831000003473,21,46,51,49,31,42,44,40,28,30
27,3831000001417,39,21,46,35,36,30,44,14,50,28
28,3831000003916,15,15,41,34,49,51,21,47,48,33
29,3831000003015,52,13,53,36,43,37,23,12,37,23
30,3831000002612,18,53,24,48,32,42,12,25,28,52
31,3831000002810,30,34,54,51,43,25,21,55,45,12
32,3831000003527,45,19,32,17,51,37,55,44,19,16
33,3831000003428,44,19,37,30,48,14,35,46,30,50
34,3831000002926,39,24,27,45,37,55,37,44,18,40
35,3831000001721,43,50,23,44,44,53,12,39,45,19
36,3831000004753,26,33,30,44,14,46,27,15,42,29
37,3831000001950,31,26,21,55,24,35,48,50,34,52
38,3831000003855,18,21,40,13,34,19,38,20,54,28
39,3831000004029,44,38,51,49,42,23,16,41,44,26
40,3831000001028,24,30,34,28,15,33,20,18,33,20
41,3831000000809,14,14,16,38,13,32,28,28,22,50
42,3831000000304,38,36,54,32,38,36,25,45,52,44
43,3831000003701,50,24,21,48,47,55,54,50,20,52
44,3831000004159,44,28,51,37,23,51,19,53,39,15
45,3831000003725,12,55,21,55,34,17,46,50,22,48
46,3831000002223,44,20,52,28,12,37,12,24,38,42
47,3831000001622,21,47,36,43,45,22,51,32,40,16
48,3831000001158,23,23,47,46,53,28,36,22,17,30
49,3831000002056,49,16,22,22,17,51,33,13,49,50
50,3831000003756,21,32,42,54,16,44,23,46,16,39
51,3831000001981,16,24,30,23,20,47,45,15,37,44
52,3831000001882,22,25,26,44,40,47,44,12,54,46
53,3831000001189,23,39,41,36,18,51,54,53,54,27
54,3831000004043,55,37,14,45,28,30,47,39,27,34
55,3831000001141,13,41,49,48,13,31,55,32,14,43
56,3831000000847,25,29,29,32,31,28,31,33,20,31
57,3831000004968,33,25,41,34,44,33,19,35,38,52
58,3831000004067,41,17,40,24,46,50,44,26,35,30
59,3831000002728,24,13,26,21,52,52,31,35,43,19
60,3831000001820,47,47,47,49,20,18,38,46,37,45
61,3831000000229,55,32,19,23,32,43,31,53,19,36
62,3831000004456,16,39,38,38,26,32,26,16,52,16
63,3831000000953,45,50,17,15,51,46,40,14,17,48
64,3831000001257,37,52,23,39,53,47,39,54,18,49
65,3831000000885,15,30,53,31,23,13,20,47,46,12
66,3831000002582,20,34,20,44,44,20,20,51,54,33
67,3831000002186,46,32,26,47,20,19,41,32,33,37
